corp_code,corp_name,year,quarter,매출액,영업이익,순이익,영업현금흐름,수주잔고,수주잔고_증감
01170962,GRT,2024,1Q,1281014974.0,167470625.0,122546963.0,141930756.0,0.0,0.0
01170962,GRT,2024,2Q,1317366851.0,203586313.0,144528858.0,309822761.0,0.0,0.0
01170962,GRT,2024,3Q,1056164618.0,173319188.0,130399196.0,271723477.0,0.0,0.0
01170962,GRT,2024,4Q,4574221304.0,798079282.0,600145982.0,299432108.0,0.0,0.0
01170962,GRT,2025,1Q,1359371831.0,221899496.0,177346272.0,167710145.0,0.0,0.0
01170962,GRT,2025,3Q,1070464168.0,144732140.0,117646504.0,551464682.0,0.0,0.0
01139266,로스웰,2024,1Q,0.0,47502231.0,53492660.0,20451443.0,0.0,0.0
01139266,로스웰,2024,2Q,0.0,26710318.0,11910241.0,-127584597.0,0.0,0.0
01139266,로스웰,2024,3Q,0.0,12183043.0,11408602.0,134703748.0,0.0,0.0
01139266,로스웰,2024,4Q,2693371318.0,103270506.0,91781317.0,892414349.0,0.0,0.0
01139266,로스웰,2025,1Q,0.0,777772.0,4692254.0,-134328481.0,0.0,0.0
01139266,로스웰,2025,2Q,0.0,11169486.0,24178192.0,-1021491180.0,0.0,0.0
01139266,로스웰,2025,3Q,0.0,9701353.0,13913357.0,-438847010.0,0.0,0.0
01107665,크리스탈신소재,2024,1Q,110333406.0,24751770.0,19160839.0,150741008.0,0.0,0.0
01107665,크리스탈신소재,2024,2Q,136056156.0,26864500.0,-14954421.0,81563427.0,0.0,0.0
01107665,크리스탈신소재,2024,3Q,139519518.0,28518001.0,1641206.0,122165265.0,0.0,0.0
01107665,크리스탈신소재,2024,4Q,518897047.0,99577615.0,7843644.0,117283997.0,0.0,0.0
01107665,크리스탈신소재,2025,1Q,112775664.0,13119831.0,9042631.0,65226742.0,0.0,0.0
01107665,크리스탈신소재,2025,2Q,147807587.0,29735499.0,25764937.0,69059989.0,0.0,0.0
01107665,크리스탈신소재,2025,3Q,141918336.0,22538656.0,18665591.0,40862676.0,0.0,0.0
00173944,우진,2024,1Q,35766702052.0,5487186151.0,0.0,3963270326.0,8102919538.0,0.0
00173944,우진,2024,2Q,39452747336.0,8278710776.0,0.0,5574467539.0,3959371051.0,-4143548487.0
00173944,우진,2024,3Q,24793103766.0,-284978081.0,0.0,3542710843.0,5233806287.0,1274435236.0
00173944,우진,2024,4Q,140726674100.0,16105340148.0,16762748288.0,11398126437.0,10228969708.0,4995163421.0
00173944,우진,2025,1Q,27179111547.0,-690208579.0,0.0,-14693479214.0,7422330470.0,-2806639238.0
00173944,우진,2025,2Q,34903842100.0,3839581153.0,0.0,-18244290395.0,6193222903.0,-1229107567.0
00173944,우진,2025,3Q,47553727935.0,9829372180.0,0.0,-8946710905.0,7319310240.0,1126087337.0
00482426,인화정공,2024,1Q,21768497399.0,1151131951.0,53043024355.0,10746545561.0,0.0,0.0
00482426,인화정공,2024,2Q,25498503135.0,4562097785.0,-12241574168.0,13447481739.0,0.0,0.0
00482426,인화정공,2024,3Q,20568311522.0,1188941766.0,3058901120.0,19349245875.0,0.0,0.0
00482426,인화정공,2024,4Q,92784009378.0,10261098402.0,40023170310.0,18658588621.0,0.0,0.0
00482426,인화정공,2025,1Q,28520545227.0,2659271392.0,-2330269828.0,-1921711679.0,0.0,0.0
00482426,인화정공,2025,2Q,25162399258.0,4408809436.0,19229010988.0,-1329751866.0,0.0,0.0
00482426,인화정공,2025,3Q,28794867224.0,4865325954.0,-3109363792.0,2624674365.0,0.0,0.0
00111874,대원산업,2024,1Q,194588182927.0,4907054583.0,8909464639.0,54327335717.0,0.0,0.0
00111874,대원산업,2024,2Q,227347916779.0,323988045.0,9691569572.0,84405119493.0,0.0,0.0
00111874,대원산업,2024,3Q,238272889810.0,22899940456.0,13148889498.0,116883756309.0,0.0,0.0
00111874,대원산업,2024,4Q,931473122460.0,74982105084.0,72618867841.0,134959891870.0,0.0,0.0
00111874,대원산업,2025,1Q,259795833571.0,20662726884.0,25048362380.0,34480879881.0,0.0,0.0
00111874,대원산업,2025,2Q,289567032277.0,27513011344.0,21076907887.0,87481512529.0,0.0,0.0
00111874,대원산업,2025,3Q,274304055863.0,26870861973.0,25263776621.0,122534600217.0,0.0,0.0
00109286,대동,2024,1Q,362441829023.0,11570006492.0,1084878335.0,-17247358997.0,0.0,0.0
00109286,대동,2024,2Q,412438021959.0,36044999380.0,11450618875.0,-17077078905.0,0.0,0.0
00109286,대동,2024,3Q,328394525250.0,-9521743776.0,-30478796277.0,-125143714028.0,0.0,0.0
00109286,대동,2024,4Q,0.0,18456574878.0,-45134481978.0,255472661060.0,0.0,0.0
00109286,대동,2025,1Q,386794678493.0,21716047770.0,9094641525.0,28968007515.0,0.0,0.0
00109286,대동,2025,2Q,414557236419.0,25099712218.0,6827628928.0,-63000346742.0,0.0,0.0
00109286,대동,2025,3Q,354097448870.0,449895686.0,-3719087282.0,-81674798320.0,0.0,0.0
00129350,삼화콘덴서공업,2024,1Q,73630026791.0,7120401395.0,7540538022.0,10113779713.0,0.0,0.0
00129350,삼화콘덴서공업,2024,2Q,76501000705.0,7650795059.0,7724014877.0,28132459943.0,0.0,0.0
00129350,삼화콘덴서공업,2024,3Q,74935373465.0,4870345356.0,2373419704.0,30208779442.0,0.0,0.0
00129350,삼화콘덴서공업,2024,4Q,295412198601.0,17842307493.0,22039010684.0,39262657051.0,0.0,0.0
00129350,삼화콘덴서공업,2025,1Q,72425939422.0,4814702373.0,4050833409.0,6614162294.0,0.0,0.0
00129350,삼화콘덴서공업,2025,2Q,78772584384.0,5568378908.0,2841210964.0,13525767540.0,0.0,0.0
00129350,삼화콘덴서공업,2025,3Q,72506233392.0,2656946715.0,4069029643.0,16629948945.0,0.0,0.0
00144252,유니온,2024,1Q,54624981380.0,-3438906795.0,-9670949144.0,1813039739.0,0.0,0.0
00144252,유니온,2024,2Q,56090559948.0,2242264818.0,0.0,10694555623.0,0.0,0.0
00144252,유니온,2024,3Q,53538417551.0,-1749584484.0,0.0,17980651393.0,0.0,0.0
00144252,유니온,2024,4Q,218159407914.0,0.0,0.0,20175303141.0,0.0,0.0
00144252,유니온,2025,1Q,50419319975.0,1043294158.0,0.0,5215197304.0,0.0,0.0
00144252,유니온,2025,2Q,54520373596.0,1804365694.0,0.0,11753194224.0,0.0,0.0
00144252,유니온,2025,3Q,49237237725.0,-708648904.0,0.0,15496309254.0,0.0,0.0
00303217,우진플라임,2024,1Q,43158615570.0,-2063836645.0,-1365897717.0,-19264480649.0,0.0,0.0
00303217,우진플라임,2024,2Q,56061790708.0,475652439.0,213779488.0,-3942510154.0,0.0,0.0
00303217,우진플라임,2024,3Q,50871627546.0,145321120.0,-1967153741.0,7111471458.0,0.0,0.0
00303217,우진플라임,2024,4Q,209594990056.0,1389976524.0,2407054989.0,5536381727.0,0.0,0.0
00303217,우진플라임,2025,1Q,38069473828.0,-2530017291.0,-2914932476.0,-17327649991.0,0.0,0.0
00303217,우진플라임,2025,2Q,63883193365.0,3480627346.0,1011993063.0,2263742981.0,0.0,0.0
00303217,우진플라임,2025,3Q,44959244561.0,-596716366.0,216864005.0,13755174572.0,0.0,0.0
00389387,라임,2024,1Q,1428603461.0,-231225623.0,-190782391.0,-200200440.0,0.0,0.0
00389387,라임,2024,2Q,1455243109.0,-164094659.0,-132047264.0,-559234214.0,0.0,0.0
00389387,라임,2024,3Q,1408506136.0,-522622980.0,-609179329.0,-619276686.0,0.0,0.0
00389387,라임,2025,1Q,1194321317.0,-172674294.0,-319173033.0,213795635.0,0.0,0.0
00125938,삼보판지,2024,1Q,134914610870.0,13327192044.0,13116971477.0,20395184683.0,0.0,0.0
00125938,삼보판지,2024,2Q,137641535043.0,12299892337.0,11484402634.0,34238792974.0,0.0,0.0
00125938,삼보판지,2024,3Q,139581149144.0,6786304873.0,9226719844.0,58732295875.0,0.0,0.0
00125938,삼보판지,2024,4Q,558291565532.0,38726562940.0,37799142802.0,65559195021.0,0.0,0.0
